src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count
89.181.158.238,192.168.1.38,,,6,8,14632
192.168.1.38,89.181.158.238,,,6,9,709
192.168.1.38,224.0.0.22,,,2,1,54
192.168.1.38,104.208.16.90,,,6,7,8237
36.236.64.74,192.168.1.38,,,6,1,62
192.168.1.38,36.236.64.74,,,6,2,340
92.247.174.151,192.168.1.38,,,6,10,14740
192.168.1.38,92.247.174.151,,,6,10,788
217.42.82.216,192.168.1.38,,,17,25,36100
192.168.1.38,217.42.82.216,,,17,16,1054
81.84.97.11,192.168.1.38,,,6,4,5896
192.168.1.38,81.84.97.11,,,6,4,264
20.42.65.90,192.168.1.38,,,6,1,62
192.168.1.38,20.42.65.90,,,6,2,625
217.42.82.216,192.168.1.38,,,17,18,24610
192.168.1.38,217.42.82.216,,,17,15,989
67.174.154.26,192.168.1.38,,,6,18,26532
192.168.1.38,67.174.154.26,,,6,18,1006
81.84.97.11,192.168.1.38,,,6,2,2948
192.168.1.38,81.84.97.11,,,6,1,54
92.247.174.151,192.168.1.38,,,6,4,5896
91.170.48.164,192.168.1.38,,,6,1,54
192.168.1.38,92.247.174.151,,,6,3,162
89.181.158.238,192.168.1.38,,,6,13,19162
192.168.1.38,89.181.158.238,,,6,6,324
192.168.1.38,77.91.229.218,,,6,1,62
104.16.102.112,192.168.1.38,,,6,4,598
192.168.1.38,104.16.102.112,,,6,2,151
67.174.154.26,192.168.1.38,,,6,11,17634
192.168.1.38,67.174.154.26,,,6,11,594
192.168.1.38,188.51.226.235,,,6,1,54
92.247.174.151,192.168.1.38,,,6,14,23476
192.168.1.38,92.247.174.151,,,6,8,432
89.181.158.238,192.168.1.38,,,6,10,14740
192.168.1.38,89.181.158.238,,,6,5,270
81.84.97.11,192.168.1.38,,,6,6,8844
192.168.1.38,81.84.97.11,,,6,3,162
217.42.82.216,192.168.1.38,,,17,15,21660
192.168.1.38,217.42.82.216,,,17,10,637
217.42.82.216,192.168.1.38,,,17,23,31830
192.168.1.38,217.42.82.216,,,17,18,1142
188.51.226.235,192.168.1.38,,,6,9,13194
192.168.1.38,188.51.226.235,,,6,7,421
192.168.1.38,71.183.90.8,,,6,1,63
192.168.1.38,217.79.74.139,,,17,1,71
192.168.1.38,178.162.173.134,,,6,1,63
192.168.1.38,91.170.48.164,,,6,1,63
192.168.1.38,83.219.212.56,,,6,1,63
192.168.1.38,184.160.237.73,,,6,1,63
192.168.1.38,81.84.97.11,,,6,3,171
192.168.1.38,174.95.50.173,,,6,1,63
89.181.158.238,192.168.1.38,,,6,7,10318
192.168.1.38,89.181.158.238,,,6,7,387
67.174.154.26,192.168.1.38,,,6,7,10318
192.168.1.38,67.174.154.26,,,6,7,387
81.84.97.11,192.168.1.38,,,6,2,4368
92.247.174.151,192.168.1.38,,,6,2,2948
192.168.1.38,92.247.174.151,,,6,1,63
92.247.174.151,192.168.1.38,,,6,18,27952
192.168.1.38,92.247.174.151,,,6,15,870
89.181.158.238,192.168.1.38,,,6,9,13266
192.168.1.38,89.181.158.238,,,6,9,495
81.84.97.11,192.168.1.38,,,6,3,4422
67.174.154.26,192.168.1.38,,,6,14,20636
192.168.1.38,67.174.154.26,,,6,14,782
192.168.1.38,81.84.97.11,,,6,3,188
217.42.82.216,192.168.1.38,,,17,1,1444
192.168.1.38,217.42.82.216,,,17,1,62
188.51.226.235,192.168.1.38,,,6,3,4398
192.168.1.38,188.51.226.235,,,6,3,162
192.168.1.38,71.183.90.8,,,6,1,63
192.168.1.38,217.79.74.139,,,17,1,71
192.168.1.38,178.162.173.134,,,6,1,63
192.168.1.38,91.170.48.164,,,6,1,63
192.168.1.38,83.219.212.56,,,6,1,63
192.168.1.38,174.95.50.173,,,6,1,63
74.108.225.98,192.168.1.38,,,6,1,54
217.42.82.216,192.168.1.38,,,17,10,13058
192.168.1.38,217.42.82.216,,,17,8,530
67.174.154.26,192.168.1.38,,,6,15,24950
192.168.1.38,67.174.154.26,,,6,15,1110
23.55.244.27,192.168.1.38,,,6,33,48914
192.168.1.38,23.55.244.27,,,6,14,836
188.51.226.235,192.168.1.38,,,6,2,2932
192.168.1.38,188.51.226.235,,,6,2,164
89.181.158.238,192.168.1.38,,,6,1,67
67.174.154.26,192.168.1.38,,,6,14,20636
192.168.1.38,67.174.154.26,,,6,5,282
217.42.82.216,192.168.1.38,,,17,14,18834
192.168.1.38,217.42.82.216,,,17,4,252
188.51.226.235,192.168.1.38,,,6,23,42190
192.168.1.38,188.51.226.235,,,6,23,1518
174.95.50.173,192.168.1.38,,,6,1,54
91.170.48.164,192.168.1.38,,,6,1,54
89.181.158.238,192.168.1.38,,,6,1,54
192.168.1.35,224.0.0.251,,,17,1,103
104.208.16.90,192.168.1.38,,,6,1,54
81.84.97.11,192.168.1.38,,,6,5,7370
192.168.1.38,81.84.97.11,,,6,5,370
92.247.174.151,192.168.1.38,,,6,1,1474
81.84.97.11,192.168.1.38,,,6,6,8844
192.168.1.38,81.84.97.11,,,6,6,436
192.168.1.38,37.19.5.139,,,6,1,62
217.42.82.216,192.168.1.38,,,17,22,24858
92.247.174.151,192.168.1.38,,,6,26,36904
192.168.1.38,92.247.174.151,,,6,22,1290
67.174.154.26,192.168.1.38,,,6,1,1474
192.168.1.38,67.174.154.26,,,6,1,54
188.51.226.235,192.168.1.38,,,6,6,7587
174.95.50.173,192.168.1.38,,,6,1,54
192.168.1.38,188.51.226.235,,,6,5,270
192.168.1.38,217.42.82.216,,,17,3,203
